sheet,sheet_state,cell,names,formula,status,implemented_in
Income Details,visible,AO111,IncD.GrossTotIncome,"SUM(IncD.TotalHeadSalaries,IF(BacValue=1,MAX(0,IncD.IncomeHeadHouseProperty),IncD.IncomeHeadHouseProperty),IncD.IncomeFromOS)",TO_IMPLEMENT,
Income Details,visible,BD111,Temp5Amount,SUM(Others.Amount_2_1),TO_IMPLEMENT,
Income Details,visible,BK111,HPLoss,"IF(IncD.TypeOfHP=""Self Occupied"",IncD.IncomeFromHP,(IF(IncD.TypeOfHP=""Let Out"",IF(ISBLANK(IncD.IncomeFromHP),0,MAX(-200000,IncD.IncomeFromHP)),0)))",TO_IMPLEMENT,
Income Details,visible,AO112,IncD.GrossTotIncome_New,"SUM(IncD.TotalHeadSalaries,IF(BacValue=1,MAX(0,IncD.IncomeHeadHouseProperty),IncD.IncomeHeadHouseProperty),IncD.IncomeFromOS,IncD.CG_LTCG)",TO_IMPLEMENT,
Income Details,visible,AN115,IncD.Section80C_Calc,"MIN(MIN(VALUE(IncD.Section80C),150000),TOTAL_INCOME)",TO_IMPLEMENT,
Income Details,visible,BD115,SumViA,SUM(AB115:AM155),TO_IMPLEMENT,
Income Details,visible,AB116,IncD.Section80CCC,SUM(Amount_80CCC),TO_IMPLEMENT,
Income Details,visible,AN116,IncD.Section80CCC_Calc,"IF(MIN(MIN(VALUE(IncD.Section80CCC), MIN(150000,ABS(IncD.GrossTotIncome)),MIN(150000,ABS(IncD.GrossTotIncome)) - IncD.Section80C_Calc),TOTAL_INCOME)>150000,150000,MIN(MIN(VALUE(IncD.Section80CCC), MIN(150000,ABS(IncD.GrossTotIncome)),MIN(150000,ABS(IncD.GrossTotIncome)) - IncD.Section80C_Calc),TOTAL_INCOME))",TO_IMPLEMENT,
Income Details,visible,F119,,F118+1,TO_IMPLEMENT,
Income Details,visible,AN121,IncD.Section80CCD_Calc_SE,"IF((MAX(0,MIN(MIN(VALUE(IncD.Section80CCD_SE), ROUND(IF(OR(MID(sheet1.EmployerCategory1,1,1)=""S"",MID(sheet1.EmployerCategory1,1,1)=""C"",MID(sheet1.EmployerCategory1,1,2)=""Pu"",MID(sheet1.EmployerCategory1,1,1)=""J"",MID(sheet1.EmployerCategory1,1,1)=""O""),0.1*VALUE(Net_salary-IncD.Perquisites),0.2*VALUE(IncD.GrossTotIncome)),0), 150000 - IncD.Section80C_Calc - IncD.Section80CCC_Calc ),MIN(150000,ABS(In",TO_IMPLEMENT,
Income Details,visible,AN126,IncD.Section80CCD1B_Calc_SE,"MIN(VALUE(IncD.Section80CCD1B_SE),50000,TOTAL_INCOME)",TO_IMPLEMENT,
